ZN-E,PH-E,SS-E,SSV-E ,SED-E,COND-E,PH-P,PH-D,PH-S,SS-S,SSV-S,SED-S,COND-S,SAFE
8.70,7.5,274,46.0,?,1186,7.3,7.1,7.0,18,83.3,?,1272,1
8.50,7.5,240,55.0,3.8,1087,7.5,7.5,7.1,17,94.1,0.00,1223,1
1.00,7.7,150,53.3,?,1509,7.7,7.6,7.2,10,72.0,?,1548,1
1.50,7.8,166,66.3,4.5,2110,7.9,7.9,7.3,21,81.0,0.02,2000,1
1.20,7.4,252,61.1,7.0,1533,7.4,7.4,7.3,20,82.5,0.00,1402,1
2.00,7.6,188,60.6,4.5,1301,7.6,7.6,7.3,20,70.0,0.00,1262,1
3.50,7.5,504,45.2,7.3,1016,7.5,7.5,7.3,25,72.0,0.05,1164,1
1.00,7.5,260,50.8,3.0,985,7.6,7.6,7.3,22,69.1,0.00,1218,1
15,7.5,142,39.4,2.0,860,7.6,7.6,7.3,12,80.0,0.00,889,1
0.21,7.5,132,69.7,?,1073,7.4,7.4,7.3,18,80.0,?,1224,1
1.50,7.7,292,33.8,3.5,1261,7.6,7.6,7.4,238,73.9,2.00,1304,1
3.00,7.6,168,69.0,3.1,1042,7.6,7.6,7.4,28,82,0.00,1087,1
1.00,7.7,192,75.0,4.5,1426,7.7,7.7,7.4,33,84.8,0.00,1636,1
3.50,8.1,222,67.6,5.8,1597,8.1,7.9,7.4,25,84.0,0.00,1422,1
1.20,7.6,186,74.2,4.5,1220,7.5,7.5,7.4,25,84.0,0.02,1411,1
3.50,7.8,200,74.0,5.0,1302,7.7,7.6,7.4,20,85.0,0.05,1473,1
4.50,7.8,212,68.9,4.5,1542,7.8,7.8,7.4,41,85.4,0.05,1395,1
1.75,7.7,132,69.7,2.7,1332,7.7,7.7,7.4,27,77.8,0.05,1482,1
1.00,7.7,162,77.8,3.2,1432,7.6,7.6,7.4,21,90.5,0.05,1572,1
2.00,7.9,152,73.7,4.5,1608,7.9,7.8,7.4,26,84.6,0.02,1490,1
4.50,7.7,158,68.4,2.5,1260,7.7,7.8,7.4,17,88.2,0.00,1365,1
3.00,7.5,204,61.8,4.0,1026,7.5,7.5,7.4,69,83.1,0.10,1092,1
6.00,7.2,170,64.7,?,1125,7.3,7.3,7.4,19,73.7,?,1306,1
2.00,7.6,174,64.4,3.5,1110,7.6,7.4,7.4,73,81.1,1.50,1256,1
1.00,7.3,188,57.4,4.0,1179,7.3,7.3,7.4,10,70.0,0.00,1264,1
0.70,7.3,212,67.9,4.5,1922,7.3,7.4,7.4,24,70.8,0.10,1796,1
8.50,7.5,226,67.3,?,1075,7.5,7.5,7.4,15,80.0,?,1170,1
0.70,8.0,204,70.6,?,1455,7.9,7.9,7.4,20,88.0,?,1590,1
3.50,7.6,280,34.3,3.5,651,7.6,7.5,7.4,14,85.7,0.00,937,1
3.70,7.3,180,32.2,1.8,940,7.4,7.5,7.4,10,80.0,0.00,683,1
4.40,7.6,204,67.6,3.5,1565,7.6,7.6,7.4,13,92.3,0.01,1467,1
3.42,7.4,202,72.3,?,1337,7.4,7.4,7.4,11,90.9,?,1365,1
2.92,7.5,108,81.5,3.0,1135,7.5,7.5,7.4,15,78.7,0.01,1220,1
19.1,7.6,298,55.7,5.0,1340,7.6,7.5,7.4,24,78.3,0.01,1300,1
3.00,7.7,214,69.2,6.5,2660,7.7,7.6,7.5,17,94.1,0.00,2590,1
3.00,7.8,186,68.8,4.5,1644,7.8,7.7,7.5,28,82.1,0.00,1764,1
6.00,7.8,262,64.1,5.0,1603,7.8,7.8,7.5,26,84.6,0.05,1703,1
5.00,7.7,334,40.7,6.0,1613,7.6,7.6,7.5,18,66.7,0.00,1606,1
2.50,7.7,194,69.1,4.5,1249,7.7,7.7,7.5,19,84.2,0.03,1338,1
0.70,7.6,116,58.6,1.2,1238,7.9,7.7,7.5,104,78.8,0.06,1221,1
3.50,7.6,188,57.4,2.5,1300,7.6,7.6,7.5,41,82.9,0.02,1545,1
1.20,7.8,246,63.4,4.0,1556,7.7,7.7,7.5,26,82.7,0.03,1606,1
1.20,7.6,222,61.3,5.5,1600,7.7,7.6,7.5,53,84.2,0.02,1780,1
3.00,7.6,214,57.0,7.0,1591,7.5,7.5,7.5,25,68.0,0.00,1597,1
7.50,7.9,212,62.3,3.5,1339,7.9,7.8,7.5,20,75.0,0.05,1377,1
4.25,7.8,136,76.5,2.5,1063,7.8,7.8,7.5,24,83.3,0.00,1220,1
0.70,8.2,204,66.7,6.7,1692,8.3,7.9,7.5,59,81.4,0.05,1483,1
1.50,7.9,172,65.1,3.8,1379,8.0,7.8,7.5,35,82.9,0.00,1470,1
2.00,8.0,176,70.5,4.0,1265,8.0,7.8,7.5,31,83.9,0.00,1442,1
0.90,7.5,170,76.5,3.5,1130,7.6,7.7,7.5,33,90.9,0.05,1274,1
1.00,7.9,206,70.9,5.5,1422,7.9,7.8,7.5,40,84.2,0.02,1342,1
1.20,8.0,264,65.2,5.2,1489,8.1,7.9,7.5,38,88.4,0.05,1716,1
1.00,7.8,170,74.1,4.0,1406,7.7,7.7,7.5,29,87.4,0.02,1445,1
2.00,7.7,162,67.9,4.0,1241,7.7,7.7,7.5,45,74.1,0.05,1399,1
0.35,7.6,136,54.4,4.5,993,7.5,7.6,7.5,17,51.8,0.03,903,1
1.00,7.8,220,65.5,5.5,1617,7.9,7.8,7.5,31,77.4,0.01,1492,1
3.00,7.8,180,67.8,5.2,1832,7.9,7.8,7.5,30,82,0.00,1590,1
2.00,7.8,226,70.8,8.0,1544,7.9,7.8,7.5,34,86.7,0.02,1239,1
3.50,7.8,188,72.3,5.0,1540,7.9,7.8,7.5,39,83.7,0.02,1503,1
1.00,8.1,242,66.9,6.5,1652,7.9,7.9,7.5,36,83.3,0.05,1552,1
3.50,7.9,192,70.8,6.5,1494,7.8,7.7,7.5,22,84.1,0.05,1596,1
17,7.7,292,63.7,7.5,2240,7.6,7.7,7.5,36,80.6,0.01,2580,1
1.70,7.8,158,67.1,4.0,1292,7.8,7.8,7.5,27,77.8,0.05,1635,1
3.50,7.8,186,62.4,3.2,1651,7.8,7.9,7.5,38,81.6,0.05,1597,1
1.8,7.9,186,72.0,4.0,1729,7.9,7.8,7.5,26,82.5,0.01,1861,1
5.00,7.9,204,53.9,4.0,1989,7.7,7.8,7.5,18,75.0,0.00,1800,1
10,8.1,300,49.3,3.7,1636,8.0,7.9,7.5,22,90.9,0.05,1291,1
2.00,8.1,172,58.1,2.5,1379,8.0,8.0,7.5,26,76.9,0.00,1542,1
1.50,7.4,264,54.5,5.5,1361,7.4,7.5,7.5,54,74.1,0.10,1506,1
1.00,7.6,218,67.9,6.0,1095,7.6,7.5,7.5,41,73.2,0.50,1146,1
1.00,8.0,208,65.4,5.5,2150,7.9,7.6,7.5,32,84.4,0.00,2290,1
2.00,7.7,176,58.0,3.5,1335,7.8,7.7,7.5,11,100,0.00,1308,1
1.40,7.5,148,62.2,3.0,1530,7.5,7.5,7.5,22,72.7,0.02,1100,1
2.00,7.3,284,49.3,4.0,991,7.5,7.3,7.5,34,72.9,0.02,1070,1
4.50,7.7,186,?,5.0,1818,7.6,7.5,7.5,13,?,0.02,1726,1
0.40,7.6,400,59.0,3.5,2080,7.5,7.4,7.5,28,71.4,0.05,2170,1
0.96,7.8,146,83.6,?,1441,7.8,7.7,7.5,19,92.6,?,1491,1
1.97,7.3,234,38.5,1.5,1190,7.4,7.4,7.5,19,63.2,0.02,1631,1
